;2009;2009;2009;2009;2010;2010;2010;2010
;RSA : ensemble;RSA : socle seul;RSA : activité seule;RSA : socle + activité;RSA : ensemble;RSA : socle seul;RSA : activité seule;RSA : socle + activité
;Nombre de foyers couverts;Nombre de foyers couverts;Nombre de foyers couverts;Nombre de foyers couverts;Nombre de foyers couverts;Nombre de foyers couverts;Nombre de foyers couverts;Nombre de foyers couverts
000 France métropolitaine;1697357;1116935;404461;175961;1797714;1154348;445641;197725
001 France entière; ; ; ; ; ; ; ; 
D01 Ain;8575;5223;2486;866;9027;5234;2800;993
D02 Aisne;17968;10749;5812;1407;18741;11212;5760;1769
D03 Allier;10119;6353;2585;1181;10285;6237;2658;1390
D04 Alpes-de-Haute-Provence;3708;2110;1081;517;4100;2296;1196;608
D05 Hautes-Alpes;2500;1448;755;297;2794;1652;816;326
D06 Alpes-Maritimes;25829;17341;5704;2784;27271;17675;6431;3165
D07 Ardèche;7087;4021;2103;963;7353;4089;2227;1037
D08 Ardennes;11468;7849;2794;825;11987;8017;2965;1005
D09 Ariège;5395;3622;1112;661;5589;3566;1266;757
D10 Aube;9204;6066;2318;820;9841;6414;2558;869
D11 Aude;15773;11003;3171;1599;16579;11465;3293;1821
D12 Aveyron;3853;2349;986;518;4133;2421;1105;607
D13 Bouches-du-Rhône;84191;59654;16010;8527;89505;62394;17874;9237
D14 Calvados;16276;9577;4850;1849;17164;10078;5029;2057
D15 Cantal;2569;1136;1068;365;2598;1133;1107;358
D16 Charente;9804;6313;2454;1037;10931;6461;3088;1382
D17 Charente-Maritime;17959;11004;5084;1871;18728;11180;5423;2125
D18 Cher;10035;6464;2548;1023;10146;6466;2489;1191
D19 Corrèze;4068;2082;1447;539;4197;2156;1487;554
D21 Côte-d'Or;2852;1915;667;270;3085;1983;752;350
D22 Côtes-d'Armor;4061;2788;921;352;4073;2706;998;369
D23 Creuse;10117;5932;3045;1140;10939;6221;3313;1405
D24 Dordogne;10072;5993;2703;1376;11105;6627;3022;1456
D25 Doubs;2928;1525;957;446;3086;1672;936;478
D26 Drôme;10217;5665;3311;1241;10472;5841;3236;1395
D27 Eure;13054;8217;3404;1433;13361;8389;3461;1511
D28 Eure-et-Loir;12863;7895;3395;1573;13371;7936;3679;1756
D29 Finistère;12801;8424;2999;1378;13623;8703;3354;1566
D2A Corse-du-Sud;8482;5495;2121;866;8999;5734;2362;903
D2B Haute-Corse;17374;11215;4059;2100;18209;11415;4564;2230
D30 Gard;29921;21281;6038;2602;31497;21599;6698;3200
D31 Haute-Garonne;33857;22504;7634;3719;37002;23312;9117;4573
D32 Gers;3502;2042;948;512;3856;2116;1156;584
D33 Gironde;38788;24038;9619;5131;41754;25394;10831;5529
D34 Hérault;42484;28966;8861;4657;44659;29044;10209;5406
D35 Ille-et-Vilaine;17354;9482;5269;2603;18785;9902;5959;2924
D36 Indre;4952;2961;1452;539;5294;3060;1606;628
D37 Indre-et-Loire;12787;8183;3263;1341;13586;8597;3506;1483
D38 Isère;23915;14911;6445;2559;25982;15821;7313;2848
D39 Jura;4918;2673;1671;574;5024;2683;1736;605
D40 Landes;8132;5076;2147;909;8570;5257;2256;1057
D41 Loir-et-Cher;6593;4430;1415;748;7310;4519;1828;963
D42 Loire;16245;9924;4265;2056;17319;10080;4902;2337
D43 Haute-Loire;3723;1834;1479;410;3717;1921;1384;412
D44 Loire-Atlantique;28136;17050;7669;3417;30371;18126;8560;3685
D45 Loiret;14236;8733;3697;1806;15284;8957;4304;2023
D46 Lot;3681;2050;1079;552;3952;2243;1121;588
D47 Lot-et-Garonne;9220;5476;2568;1176;9566;5760;2601;1205
D48 Lozère;1144;644;349;151;1266;645;419;202
D49 Maine-et-Loire;16595;10364;4389;1842;17441;10611;4794;2036
D50 Manche;8905;4926;2830;1149;9407;5040;3046;1321
D51 Marne;12470;7661;3671;1138;13504;8117;4006;1381
